Year,Month,Total.Escapement,Brood.Year
1993,January,1240,1992
1993,February,1240,1992
1993,March,1240,1992
1993,April,1240,1992
1993,December,387,1993
1994,January,387,1993
1994,February,387,1993
1994,March,387,1993
1994,April,387,1993
1994,December,186,1994
1995,January,186,1994
1995,February,186,1994
1995,March,186,1994
1995,April,186,1994
1995,December,1297,1995
1996,January,1297,1995
1996,February,1297,1995
1996,March,1297,1995
1996,April,1297,1995
1996,December,1337,1996
1997,January,1337,1996
1997,February,1337,1996
1997,March,1337,1996
1997,April,1337,1996
1997,December,880,1997
1998,January,880,1997
1998,February,880,1997
1998,March,880,1997
1998,April,880,1997
1998,December,2992,1998
1999,January,2992,1998
1999,February,2992,1998
1999,March,2992,1998
1999,April,2992,1998
1999,December,3288,1999
2000,January,3288,1999
2000,February,3288,1999
2000,March,3288,1999
2000,April,3288,1999
2000,December,1352,2000
2001,January,1352,2000
2001,February,1352,2000
2001,March,1352,2000
2001,April,1352,2000
2001,December,8224,2001
2002,January,8224,2001
2002,February,8224,2001
2002,March,8224,2001
2002,April,8224,2001
2002,December,7441,2002
2003,January,7441,2002
2003,February,7441,2002
2003,March,7441,2002
2003,April,7441,2002
2003,December,8218,2003
2004,January,8218,2003
2004,February,8218,2003
2004,March,8218,2003
2004,April,8218,2003
2004,December,7869,2004
2005,January,7869,2004
2005,February,7869,2004
2005,March,7869,2004
2005,April,7869,2004
2005,December,15839,2005
2006,January,15839,2005
2006,February,15839,2005
2006,March,15839,2005
2006,April,15839,2005
2006,December,17296,2006
2007,January,17296,2006
2007,February,17296,2006
2007,March,17296,2006
2007,April,17296,2006
2007,December,2541,2007
2008,January,2541,2007
2008,February,2541,2007
2008,March,2541,2007
2008,April,2541,2007
2008,December,2830,2008
2009,January,2830,2008
2009,February,2830,2008
2009,March,2830,2008
2009,April,2830,2008
2009,December,4537,2009
2010,January,4537,2009
2010,February,4537,2009
2010,March,4537,2009
2010,April,4537,2009
2010,December,1596,2010
2011,January,1596,2010
2011,February,1596,2010
2011,March,1596,2010
2011,April,1596,2010
2011,December,827,2011
2012,January,827,2011
2012,February,827,2011
2012,March,827,2011
2012,April,827,2011
2012,December,2671,2012
2013,January,2671,2012
2013,February,2671,2012
2013,March,2671,2012
2013,April,2671,2012
